origin,destination,length
Chatillon-Mail,Châteauroux-L-Giraudoux,93
Chatillon-Mail,Tours,95
Vierzon,Romorantin-BA-G.R.,43
Romorantin-BA-G.R.,Vierzon-Médiathèque,48
Blois-Chambord,Limeray,35
Châteaudun,Dourdan,90
Châteaudun-LEP-Paulsen,Dourdan,102
Chartres-Gare-Routière,Tours,159
Chartres-Gare-Routière,Vendôme,84
Châteaudun,Vendôme,55
Tours,Vendôme,65
Chartres-Gare-Routière,Châteaudun,56
Châteaudun,Tours,111
Château-Renault,Vendôme-Villiers-s-Loir,47
Epinal,Neufchâteau,109
Neufchâteau,Vittel,45
Lunéville,Rambervillers (11 Nov),54
Lunéville,Moyen,41
Luneville-LP,Rambervillers (11 Nov),72
Lunéville (Cité Scolai),Rambervillers,60
Lunéville,Rambervillers,52
Lunéville (Cité Scolai),Rambervillers (11 Nov),71
Epinal,Mirecourt,44
Bruyères (Vosges),Lunéville,80
Remiremont,Gérardmer La Mauselaine,45
Contrexéville,Epinal,60
Longwy,Metz-Ville,55
Bussang (Gare SNCF),Remiremont,54
Bresse-Claudel (la),Remiremont,57
Remiremont,La-Bresse (Pl Champtel),63
Remiremont,La Bresse Le Lispach,83
Audun-le-Roman,Thionville,40
Bitche,Sarreguemines,48
Bitche-Quartier-Driant,Sarreguemines,56
Sarrebourg,St-Louis-57-Incliné,27
Lutzelbourg,Sarrebourg,50
Conflans-Jarny,Metz-Ville,40
Metz-Ville,Verdun,90
Conflans-Jarny,Verdun,45
Marle-sur-Serre,Lugny,5
BarentonÂ Cel,Verneuil-sur-Serre,5
Barenton-sur-Serre,Verneuil-sur-Serre,5
Strasbourg,WOERTH RHEIN,66
Neustadt (Weinstr) Hbf,Wissembourg,62
WINDEN PFALZ,Wissembourg,16
Landau-Pfalz-Hbf,Wissembourg,28
Lauterbourg,WOERTH RHEIN,15
Fougères,Rennes,70
Nice-Ville,Ventimiglia-Stazione,53
Grasse,Nice-Ville,71
Grasse,Ventimiglia-Stazione,127
Grasse,Menton,113
Menton,Nice-Ville,39
Cannes-la-Bocca,Ventimiglia-Stazione,107
Cannes-la-Bocca,Menton,90
Les Arcs-Draguignan,Ventimiglia-Stazione,138
Les Arcs-Draguignan,Menton,118
Cannes-la-Bocca,Monaco-Monte-Carlo,73
Grasse,Monaco-Monte-Carlo,99
Monaco-Monte-Carlo,Nice-Ville,24
Cannes,Ventimiglia-Stazione,101
Cannes,Monaco-Monte-Carlo,70
Menton,Ventimiglia-Stazione,16
Monaco-Monte-Carlo,Ventimiglia-Stazione,30
Saarbrücken /Sarrebruck,Strasbourg,102
Mommenheim,Strasbourg,15
Metz-Ville,Trier-Hbf (Trèves),96
Longwy,Luxembourg,35
Luxembourg,Rodange,27
Perpignan,Port-Bou,59
Avignon-Centre,Port-Bou,259
Narbonne,Port-Bou,102
Nîmes,Port-Bou,209
Port-Bou,Toulouse-Matabiau,220
Montpellier-Saint-Roch,Port-Bou,171
Saarbrücken /Sarrebruck,Sarreguemines,29
Offenburg,Strasbourg,32
Kehl,Offenburg,22
Mulhouse,Mullheim-Baden-Bf,23
Freiburg-Breisgau,Mulhouse,45
Luxembourg,Nancy-Ville,92
Luxembourg,Thionville,25
Nancy-Ville,Thionville,65
Bettembourg,Nancy-Ville,79
Luxembourg,Metz-Ville,49
Bettembourg,Metz-Ville,36
Metz-Ville,Thionville,27
Forbach,Saarbrücken /Sarrebruck,10
Metz-Ville,Saarbrücken /Sarrebruck,60
Basel-SBB,Strasbourg,89
Basel-SBB,Sélestat,69
Genève,Lyon-Part-Dieu,117
Bellegarde-s-V. Gare,Genève,28
Lyon-Part-Dieu,St-Gervais-L-B-Le-Fayet,228
Genève,Grenoble,144
Genève,Valence-Ville,195
St-Pierre-des-Corps,Tours,5
Mommenheim,Sarreguemines,113
Mommenheim,Saarbrücken /Sarrebruck,154
Ingwiller,Mommenheim,35
Ingwiller,Strasbourg,66
Roeschwoog,Strasbourg,84
Lauterbourg,Strasbourg,114
Colmar,Munster,36
Kehl,Strasbourg,25
Saales,St-Dié-des-Vosges,28
Molsheim,St-Dié-des-Vosges,105
Rothau,St-Dié-des-Vosges,50
Molsheim,Rothau,55
Rothau,Saales,22
Kruth,Thann-Saint-Jacques,28
Molsheim,Saales,76
Thann-Saint-Jacques,Wesserling,19
Molsheim,Mutzig-Passage-A-Niveau,8
Erstein,Strasbourg,26
Colmar,Mulhouse,50
Bayonne,Pau,145
Bayonne,Puyoô,70
Mont-de-Marsan,Morcenx,45
Bordeaux-St-Jean,Mont-de-Marsan,185
Lesparre,Pauillac,25
Bordeaux-St-Jean,Lesparre,157
Bordeaux-St-Jean,Le-Verdon,200
Dax,Lourdes,170
Dax,Pau,110
Dax,Tarbes,205
Arcachon,Biganos-Facture,47
Brive-la-Gaillarde,Périgueux,105
Condat-le-Lardin,Tulle,85
Brive-la-Gaillarde,Condat-le-Lardin,44
Bedous,Pau,86
Oloron-Ste-Marie,Pau,52
Bidos,Pau,58
Bedous,Oloron-Ste-Marie,35
Bayonne,St-Jean-Pied-de-Port,81
Bayonne,Cambo-les-Bains,38
Dax,Hendaye,140
Bayonne,Morcenx,105
Bordeaux-St-Jean,Dax,170
Bergerac,Libourne,104
Libourne,St-Emilion,19
Bergerac,Sarlat,94
Bordeaux-St-Jean,Langon,87
Agen,Bordeaux-St-Jean,174
Agen,Périgueux,212
Agen,Monsempron-Libos,65
Commentry,Montluçon-Ville,25
Clermont-Ferrand,Moulins-sur-Allier,165
Clermont-Ferrand,Riom-Châtel-Guyon,25
Clermont-Ferrand,Vichy,85
Gannat,Vichy,32
Arvant,Brioude,12
Alès,Clermont-Ferrand,344
Alès,Brioude,254
Arvant,Langeac,46
Arvant,Nîmes,334
Aurillac,Neussargues,74
Aurillac,Figeac,80
Aurillac,Brive-la-Gaillarde,162
Firminy,Le Puy-en-Velay,129
Le Puy-en-Velay,Vorey,41
Dijon-Ville,Laroche-Migennes,216
Laroche-Migennes,Tonnerre,69
Frasne,Travers,56
Laroche-Migennes,Montereau,148
Clamecy,Laroche-Migennes,113
Auxerre-St-Gervais,Laroche-Migennes,28
Dijon-Ville,Is-sur-Tille,65
Dijon-Porte-Neuve,Is-sur-Tille,32
Dijon-Ville,Seurre,98
Besançon-Viotte,Dijon-Ville,164
Dijon-Ville,Les Laumes-Alésia,107
Avallon,Laroche-Migennes,110
Chagny,Montchanin,57
Decize,Luzy(Nièvre),54
Cosne-sur-Loire,Nevers-Le-Banlay,118
Nevers,Nevers-Le-Banlay,13
Lyon-Perrache,Paray-le-Monial,150
Besançon-Viotte,Dole-Ville,78
Belfort-Ville,Vesoul,115
Besançon-Viotte,Le Valdahon,62
Luzy(Nièvre),Montchanin,68
Le Creusot,Luzy(Nièvre),54
Bourg-en-Bresse,Lons-le-Saunier,89
Belfort-Ville,Meroux,24
Belfort-Ville,Delle,75
Besançon-Franche-Comté,Besançon-Viotte,23
Rennes,Vitré,60
Rennes,St-Brieuc,115
Montauban-de-Bretagne,Rennes,50
Messac-Guipry,Rennes,75
Nantes,Rennes,100
Rennes,Vannes,150
Messac-Guipry,Vannes,115
Redon,Rennes,105
Beslé,Redon,35
Lorient,Quimper,95
Lorient,Rosporden,65
Lorient,Vannes,80
Lorient,Redon,140
Brest,Morlaix,85
Brest,Quimper,130
Landerneau,Quimper,95
Brest,La Forest,35
Brest,Landerneau,45
Lannion,St-Brieuc,65
Guingamp,Lannion,55
Carhaix,Guingamp,75
Aubrais-(les),Cosne-sur-Loire,135
Port-de-Piles,Tours,85
Châteauroux,Vierzon,90
Argenton-sur-Creuse,Vierzon,130
Aubrais-(les),Toury,45
Bourges,Vierzon,70
Bourges,Montluçon-Ville,160
Port-Boulet,Tours,77
Aubrais-(les),Tours,160
Aubrais-(les),Château-Gaillard,45
Romorantin-Blanc-Argent,Valençay,45
Chartres,Nogent-le-Rotrou,91
Chartres,La Verrière,108
Chartres,Versailles-Chantiers,110
Chartres,Courtalain-St-Pellerin,90
Charleville-Mézières,Givet,107
Charleville-Mézières,Nouzonville,20
Charleville-Mézières,Reims,80
Reims,Sedan,163
Charleville-Mézières,Sedan,43
Rethel,Sedan,113
Laon,Reims,110
Chaumont,Châlons-en-Champagne,164
Châlons-en-Champagne,St-Dizier,75
Châlons-en-Champagne,Château-Thierry,105
Dormans,Epernay,30
Bar-le-Duc,Epernay,155
Bar-le-Duc,St-Dizier,35
Bar-le-Duc,Châlons-en-Champagne,110
Culmont-Chalindrey,Troyes,161
Dijon-Ville,Troyes,145
Cerbère,Perpignan,107
Le Grau-du-Roi,Vauvert,44
Le Grau-du-Roi,Nîmes,93
Carcassonne,Castelnaudary,59
Narbonne,Toulouse-Matabiau,218
Castelnaudary,Narbonne,134
Alès,Génolhac,57
Alès,La Bastide-St-Laurent,111
Alès,Mende,187
Alès,Langogne,136
Marvejols,Mende,48
Alès,Arvant,263
Langogne,Nîmes,180
Mende,Nîmes,247
Marvejols,Nîmes,297
Castelnaudary,Toulouse-Matabiau,83
Perpignan,Villefranche-Vernet-l.B,64
Guéret,Limoges-Bénédictins,111
Le Dorat,Limoges-Bénédictins,70
Limoges-Bénédictins,Poitiers,205
Limoges-Bénédictins,Saillat-Chassenon,91
Limoges-Bénédictins,Périgueux,147
St-Yrieix-la-Perche,Pompadour,47
Nexon,Pompadour,83
Limoges-Bénédictins,Nexon,33
Objat,Pompadour,31
Brive-la-Gaillarde,Objat,46
Brive-la-Gaillarde,Limoges-Bénédictins,174
Limoges-Bénédictins,Ussel,192
Brive-la-Gaillarde,Tulle,44
Lunéville,Nancy-Ville,71
Epinal,Nancy-Ville,79
Longwy,Rodange,16
Bening,Saarbrücken /Sarrebruck,53
Longwy,Nancy-Ville,172
Conflans-Jarny,Longwy,86
Nancy-Ville,Pont-St-Vincent,60
Bar-le-Duc,Metz-Ville,138
Bar-le-Duc,Nancy-Ville,88
Nancy-Ville,Remiremont,160
Châlons-en-Champagne,Metz-Ville,228
Epinal,Remiremont,37
Baroncourt,Nancy-Ville,109
Conflans-Jarny,Hagondange,64
Hagondange,Verdun,113
Nancy-Ville,St-Dié-des-Vosges,121
Nancy-Ville,Revigny,144
Liverdun,Nancy-Ville,25
Bar-le-Duc,Toul,77
Lunéville,St-Dié-des-Vosges,41
Longwy,Sedan,108
Charleville-Mézières,Longwy,151
Diemeringen,Saarbrücken /Sarrebruck,75
Nancy-Ville,Verdun,108
Dijon-Ville,Neufchâteau,120
Dijon-Ville,Nancy-Ville,190
Bettembourg,Luxembourg,20
Millau,Rodez,85
Millau,Laissac-Foirail,60
Mazamet,St-Sulpice (Tarn),103
Castres,St-Sulpice (Tarn),60
Capdenac,Figeac,20
Figeac,Tessonnières,160
Aurillac,Toulouse-Matabiau,244
Auch,L'Isle-Jourdain (Gers),51
Auch,Toulouse-Matabiau,122
Auch,Colomiers,94
L'Isle-Jourdain (Gers),Toulouse-Matabiau,72
Colomiers,L'Isle-Jourdain (Gers),48
Brive-la-Gaillarde,Montauban-Ville-Bourbon,198
Cahors,Montauban-Ville-Bourbon,78
Boussens,Pau,183
Muret,Tarbes,182
Boussens,Muret,93
Boussens,Montréjeau-Gourdan-Pol.,55
Montréjeau-Gourdan-Pol.,Muret,138
Pau,Tarbes,93
Lourdes,Tarbes,35
Agen,Montauban-Ville-Bourbon,106
Capdenac,Rodez,86
Brive-la-Gaillarde,Capdenac,148
Cambrai Ville,St Quentin,101
Boulogne Ville,Calais Fréthun,30
Calais Fréthun,Rang du Fl. Verton Ber.,96
Lille Flandres,Mouscron / Moeskroen,49
Douai,Lille Flandres,118
Cambrai Ville,Valenciennes,95
Aulnoye Aymeries,Jeumont,50
Aulnoye Aymeries,Maubeuge,28
Maubeuge,St Quentin,116
Aulnoye Aymeries,Busigny,82
Amiens,Arras,104
Aulnoye Aymeries,Hirson,104
Lille Flandres,Valenciennes,127
Jeumont,Maubeuge,15
Jeumont,Valenciennes,128
Charleroi Sud,Maubeuge,60
Calais Ville,Hazebrouck,109
Arras,St Pol sur Ternoise,63
Abbeville,Amiens,56
Arras,Lens,42
Arras,Lille Flandres,99
Amiens,Lille Flandres,223
Albert,Douai,119
Amiens,Douai,164
Albert,Arras,62
Dunkerque,Lille Flandres,150
Caen,Cherbourg,174
Evreux,Mantes-la-Jolie,84
Le Mans,Tours,133
Amiens,Rouen-Rive-Droite,186
La Roche-sur-Yon,La Rochelle-Ville,120
Angers-St-Laud,Sablé-sur-Sarthe,83
Le Mans,Nogent-le-Rotrou,95
Connerré-Beillé,Le Mans,50
Laval,Le Mans,135
Angers-St-Laud,Saumur,95
Angers-St-Laud,Cholet,100
Beauvais-Gare-SNCF,Persan-Beaumont,90
Tergnier,Laon-Gare-Routière-Poma,67
Amiens,Tergnier,159
Amiens,St Quentin,93
Creil,Laon,171
Creil,Laon-Gare-Routière-Poma,200
St Quentin,Tergnier,28
Creil,St-Just-SNCF,56
Amiens,St-Just-SNCF,87
Amiens,Creil,95
Abancourt,Le Tréport-Mers-Les-B,83
Angoulême,Poitiers,158
La Rochelle-Ville,Saintes,98
La-Rochelle-Pt-Dauphine,Rochefort,64
La Rochelle-Ville,St-Mariens-St-Yzan,184
La Rochelle-Ville,La-Rochelle-Pt-Dauphine,9
La-Rochelle-Pt-Dauphine,Saintes,133
Niort,Saintes,95
Niort,Royan,139
Angoulême,Saintes,98
Angoulême,Royan,145
Breil-sur-Roya,Tende,40
Cannes,Grasse,50
Marseille-St-Charles,Toulon,125
Les Arcs-Draguignan,St-Raphaël-Valescure,30
Nice-Ville,Sospel,65
Nice-Ville,Touet-de-l'Escarène,65
Avignon-Centre,Miramas,100
Aix-Gare-Routière,Marseille-St-Charles,55
Aix-Gare-Routière,Gardanne,20
Marseille-St-Charles,Sisteron,175
Marseille-St-Charles,Martigues,70
Roanne-Gare-Routière,Saint-Etienne-Chtx GR,119
Lyon-Perrache-Gare-Rout,Roanne-Gare-Routière,142
Clelles-Mens,Veynes-Dévoluy,56
Gap,Veynes-Dévoluy,30
La Roche-sur-Foron,St-Gervais-L-B-Le-Fayet,108
Annecy,La Roche-sur-Foron,55
Chedde,St-Gervais-L-B-Le-Fayet,10
Sarrebourg,Strasbourg,59
Krimmeri-Meinau,Strasbourg,7
Metz-Ville,Strasbourg,86
Strasbourg,Wissembourg,58
Krimmeri-Meinau,Sarreguemines,92
Colmar,Strasbourg,53
Obernai,Strasbourg,31
St-Dié-des-Vosges,Strasbourg,112
Mulhouse,Strasbourg,61
Erstein,Mulhouse,53
Mulhouse,Sélestat,40
Lutterbach Tram-train,Mulhouse-Gare-Centrale,19
Mulhouse-Gare-Centrale,Thann-Saint-Jacques,46
Mulhouse-Gare-Centrale,Thann,41
Mulhouse,Thann-Saint-Jacques,32
Mulhouse,Willer-sur-Thur,36
Mulhouse,Thann,26
Mulhouse,Wesserling,47
Niederbronn,Strasbourg,53
Conflans-Jarny,Nancy-Ville,51
Longuyon,Thionville,39
Longwy,Thionville,55
Bar-le-Duc,Lunéville,98
Lunéville,Revigny,108
Epernay,Nancy-Ville,123
Epernay,Lunéville,165
Epernay,Metz-Ville,117
Lunéville,Toul,68
Epinal,Metz-Ville,120
Metz-Ville,Remiremont,135
Metz-Ville,Sarrebourg,62
Metz-Ville,Sarreguemines,62
Nancy-Ville,Strasbourg,89
Lunéville,Strasbourg,67
Lunéville,Metz-Ville,73
Nancy-Ville,Toul,23
Culmont-Chalindrey,Vittel,49
Paris-Est,Vittel,230
Charleville-Mézières,Longuyon,60
Charleville-Mézières,Thionville,96
Champagne-Ardenne,Charleville-Mézières,71
Champagne-Ardenne,Reims,12
Château-Thierry,Reims,66
Bar-le-Duc,Paris-Est,150
Château-Thierry,Paris-Est,53
Bar-le-Duc,Château-Thierry,95
Châlons-en-Champagne,Paris-Est,101
Paris-Est,St-Dizier,140
Epernay,Paris-Est,84
Château-Thierry,St-Dizier,85
Paris-Est,Strasbourg,359
Paris-Est,Sarrebourg,270
Nancy-Ville,Paris-Est,199
Bar-le-Duc,Strasbourg,158
Paris-Est,Troyes,90
Culmont-Chalindrey,Paris-Est,188
Chaumont,Culmont-Chalindrey,33
Chaumont,Paris-Est,145
Mulhouse,Paris-Est,294
Mulhouse,Troyes,182
Chaumont,Mulhouse,137
Belfort-Ville,Paris-Est,247
Belfort-Ville,Troyes,163
Longueville (S.-et-M.),Mulhouse,234
Belfort-Ville,Chaumont,105
Dijon-Ville,Paris-Est,223
Culmont-Chalindrey,Dijon-Ville,46
Châlons-en-Champagne,Reims,44
Reims,St-Dizier,93
Culmont-Chalindrey,Reims,171
Chaumont,Reims,130
Culmont-Chalindrey,St-Dizier,89
Dijon-Ville,Reims,216
Dijon-Ville,St-Dizier,128
Epernay,Reims,35
Champagne-Ardenne,Sedan,105
Aulnoye Aymeries,Valenciennes,29
Maubeuge,Valenciennes,42
Hirson,Valenciennes,90
Busigny,Maubeuge,36
Aulnoye Aymeries,Tergnier,71
Aulnoye Aymeries,St Quentin,48
Lille Flandres,Maubeuge,72
Aulnoye Aymeries,Lille Flandres,60
Jeumont,Lille Flandres,81
Hirson,Lille Flandres,108
Charleville-Mézières,Lille Flandres,146
Béthune,Lille Flandres,39
Calais Ville,Rang du Fl. Verton Ber.,68
Calais Ville,Etaples Le Touquet,62
Cambrai Ville,Douai,34
Douai,Valenciennes,38
Douai,Lens,31
Lille Flandres,St Quentin,107
Cambrai Ville,Lille Flandres,59
Douai,St Quentin,93
Lille Flandres,Tourcoing,14
Boulogne Ville,Lille Europe,72
Calais Ville,Lille Europe,49
Arras,Calais Fréthun,67
Lille Europe,Rang du Fl. Verton Ber.,94
Calais Fréthun,Lille Europe,29
Dunkerque,Lille Europe,31
Amiens,Dunkerque,104
Calais Ville,Dunkerque,50
Dunkerque,Hazebrouck,36
Lille Flandres,St Omer,50
Calais Ville,Lille Flandres,75
Arras,Hazebrouck,58
Arras,Dunkerque,93
Arras,Béthune,36
Hazebrouck,Lens,42
Béthune,Lens,17
Arras,Calais Ville,123
Hirson,Laon,51
Beauvais-Gare-SNCF,Paris Nord,73
Paris Nord,Persan-Beaumont,63
Creil,Paris Nord,21
Abancourt,Creil,103
Abancourt,Beauvais-Gare-SNCF,48
Compiègne,Paris Nord,56
Compiègne,Creil,37
Paris Nord,Tergnier,88
Creil,St Quentin,104
Abbeville,Albert,80
Amiens,Compiègne,60
Paris Nord,St-Just-SNCF,64
Clermont-de-l'Oise,Paris Nord,50
Amiens,Laon,84
Laon,Tergnier,26
Lille Flandres,Rouen-Rive-Droite,168
Abancourt,Amiens,35
Aulnoye Aymeries,Laon,111
Laon,Paris Nord,90
Crépy-en-Valois,Laon,69
Paris-St-Lazare,Vernon-Giverny,60
Oissel,Paris-St-Lazare,94
Mantes-la-Jolie,Vernon-Giverny,17
Le Havre,Montivilliers,15
Le Havre,Rolleville,26
Fécamp,Le Havre,46
Le Havre,Rouen-Rive-Droite,61
Elbeuf-St-Aubin,Yvetot,63
Rouen-Rive-Droite,Yvetot,34
Evreux,Paris-St-Lazare,69
Paris-St-Lazare,Serquigny,105
Bueil,Mantes-la-Jolie,15
Dieppe,Rouen-Rive-Droite,63
Evreux,Lisieux,52
Caen,Lisieux,33
Caen,Coutances,75
Caen,St-Lô,51
Caen,Dol,167
Dol,Granville,59
Argentan,Granville,83
Caen,Granville,103
Alençon,Caen,71
Argentan,Caen,40
Rennes,Retiers,42
Janzé,Rennes,36
Dol,Rennes,33
Montreuil-sur-Ille,Rennes,30
Rennes,St-Malo,55
Lannion,Plouaret-Trégor,16
Callac,Carhaix,26
Callac,Guingamp,41
Guingamp,Paimpol,47
La Brohinière,Rennes,32
Brest,Lannion,91
Brest,Rennes,139
Quimper,Vannes,86
Quimper,Rennes,141
Château-du-Loir,Le Mans,50
Alençon,Le Mans,53
Alençon,Tours,145
Alençon,Château-du-Loir,106
Le Mans,Nantes,94
Angers-St-Laud,Nantes,43
Le Croisic,Le Mans,177
Angers-St-Laud,Le Mans,66
Le Mans,Sablé-sur-Sarthe,22
Laval,Rennes,55
Le Mans,Rennes,103
Laval,Nantes,101
Le Croisic,Rennes,222
Nantes,St-Nazaire,51
Le Croisic,Nantes,74
Nantes,Redon,58
Nantes,Quimper,174
Brest,Nantes,203
Nantes,Savenay,34
Nantes,Saumur,86
Cholet,Saumur,85
La Roche-sur-Yon,Nantes,55
Les Sables-d'Olonne,Nantes,87
Chantonnay,La Roche-sur-Yon,31
Les Sables-d'Olonne,Saumur,158
Nantes,Ste-Pazanne,32
Nantes,Pornic,60
Ancenis,Nantes,28
Nantes,Sucé-Sur-Erdre,27
Nantes,Nort-sur-Erdre,40
Châteaubriant-TT,Nantes,67
Clisson,Nantes,29
Nantes,Orléans,170
Le Croisic,Orléans,258
Le Croisic,Tours,190
Nantes,Tours,93
Angers-St-Laud,Tours,78
Saumur,Tours,51
Thouars,Tours,78
Bressuire,Tours,103
Angers-St-Laud,Thouars,68
Blois-Chambord,Orléans,49
Orléans,St-Pierre-des-Corps,58
Reignac,Tours,45
Paris-Austerlitz,Vendôme,139
Châteaudun,Paris-Austerlitz,95
Châteaudun,Paris-Gare-de-Lyon,97
Paris-Gare-de-Lyon,Vendôme,132
Paris-Bercy,Vendôme,149
Châteaudun,Voves,21
Tours,Voves,137
Bléré-la-Croix,Tours,28
St-Aignan-Noyers,Tours,57
Tours,Vierzon,87
Bourges,Tours,110
Nevers,Tours,146
Saumur,Thouars,30
Montluçon-Ville,Vallon-en-Sully,31
Commentry,Vallon-en-Sully,47
Commentry,St-Amand-Montrond-Orval,98
Bourges,Commentry,121
Salbris,Valençay,87
Bourges,Orléans,73
Orléans,Vierzon,51
Nevers,Orléans,132
Nevers,Vierzon,69
Argenton-sur-Creuse,Orléans,117
Châteauroux,Orléans,95
Limoges-Bénédictins,Orléans,203
Limoges-Bénédictins,Vierzon,129
Argenton-sur-Creuse,Limoges-Bénédictins,74
Chartres,Voves,23
Angers-St-Laud,Chartres,163
Poitiers,Tours,74
Niort,Poitiers,59
La Rochelle-Ville,Poitiers,100
La Rochelle-Ville,Niort,44
La Roche-sur-Yon,Tours,199
La Rochelle-Ville,Rochefort,30
Bordeaux-St-Jean,Saintes,99
Royan,Saintes,26
Angoulême,La-Rochelle-Pt-Dauphine,138
Angoulême,La Rochelle-Ville,126
Bordeaux-St-Jean,La-Rochelle-Pt-Dauphine,164
Bordeaux-St-Jean,La Rochelle-Ville,162
Angoulême,Bordeaux-St-Jean,89
Bordeaux-St-Jean,Libourne,35
Angoulême,Coutras,55
Bordeaux-St-Jean,Coutras,47
Bordeaux-St-Jean,St-Mariens-St-Yzan,43
Bordeaux-St-Jean,Brive-la-Gaillarde,143
Bordeaux-St-Jean,Périgueux,82
Bordeaux-St-Jean,Condat-le-Lardin,121
Bordeaux-St-Jean,Tulle,193
Condat-le-Lardin,Périgueux,34
Mussidan,Périgueux,30
Bordeaux-St-Jean,Limoges-Bénédictins,145
Bergerac,Bordeaux-St-Jean,76
Bordeaux-St-Jean,Sarlat,144
Bordeaux-St-Jean,Le Buisson,110
Le Buisson,Périgueux,53
Agen,Limoges-Bénédictins,216
Monsempron-Libos,Périgueux,104
Bordeaux-St-Jean,Morcenx,60
Bordeaux-St-Jean,Pauillac,59
Lesparre,Pessac,72
Bordeaux-St-Jean,Macau,41
Macau,Pessac,34
Arcachon,Bordeaux-St-Jean,52
Biganos-Facture,Bordeaux-St-Jean,29
Bordeaux-St-Jean,Hendaye,178
Bayonne,Dax,44
Bayonne,Hendaye,37
Agen,Marmande,36
Bordeaux-St-Jean,Marmande,67
Agen,Langon,69
Bayonne,Tarbes,145
Bordeaux-St-Jean,Pau,132
Bordeaux-St-Jean,Tarbes,188
Bordeaux-St-Jean,Lourdes,174
Le Dorat,Poitiers,60
Limoges-Bénédictins,St-Junien,38
Limoges-Bénédictins,St-Yrieix-la-Perche,39
Eymoutiers-Vassiviere,Limoges-Bénédictins,45
Limoges-Bénédictins,Montluçon-Ville,131
Felletin-Gare,Guéret,52
Bordeaux-St-Jean,Montluçon-Ville,259
Bordeaux-St-Jean,Guéret,208
Bordeaux-St-Jean,Ussel,262
Périgueux,Ussel,169
La Souterraine,Limoges-Bénédictins,47
Châteauroux,Limoges-Bénédictins,86
Rodez,Toulouse-Matabiau,137
Carmaux,Toulouse-Matabiau,76
Brive-la-Gaillarde,Rodez,145
Colomiers,Toulouse-Matabiau,22
L'Isle-Jourdain (Gers),Saint-Cyprien-Arènes,33
Colomiers,Saint-Cyprien-Arènes,13
Carcassonne,Toulouse-Matabiau,74
Capdenac,Toulouse-Matabiau,137
Tessonnières,Toulouse-Matabiau,53
Aurillac,Clermont-Ferrand,152
Arvant,Clermont-Ferrand,47
Pamiers,Toulouse-Matabiau,57
Latour-de-Carol-Enveitg,Toulouse-Matabiau,174
Foix,Latour-de-Carol-Enveitg,105
Brive-la-Gaillarde,Toulouse-Matabiau,147
Cahors,Toulouse-Matabiau,74
Montauban-Ville-Bourbon,Toulouse-Matabiau,43
Brive-la-Gaillarde,Cahors,66
Agen,Toulouse-Matabiau,81
St-Sulpice (Tarn),Toulouse-Matabiau,24
Muret,Toulouse-Matabiau,19
Boussens,Toulouse-Matabiau,58
Montréjeau-Gourdan-Pol.,Toulouse-Matabiau,86
Tarbes,Toulouse-Matabiau,109
Clermont-Ferrand,Durtol-Nohanent,13
Clermont-Ferrand,St-Germain-des-Fossés,40
Clermont-Ferrand,Nevers,106
Clermont-Ferrand,Vic-le-Comte,21
Brioude,Clermont-Ferrand,67
Clermont-Ferrand,Issoire,40
Clermont-Ferrand,Le Lioran,111
Brive-la-Gaillarde,Neussargues,168
Clermont-Ferrand,Nîmes,307
Nevers,Vic-le-Comte,124
Moulins-sur-Allier,Vic-le-Comte,92
St-Germain-des-Fossés,Vic-le-Comte,66
Issoire,Moulins-sur-Allier,113
Issoire,Riom-Châtel-Guyon,57
Riom-Châtel-Guyon,Vic-le-Comte,38
Issoire,St-Germain-des-Fossés,88
Gannat,Issoire,81
Gannat,Vic-le-Comte,66
Brioude,Gannat,100
Brioude,Moulins-sur-Allier,149
Clermont-Ferrand,Dijon-Ville,260
Dijon-Ville,Moulins-sur-Allier,178
Clermont-Ferrand,Lyon-Perrache,171
Narbonne,Perpignan,46
Lunel,Narbonne,100
Montpellier-Saint-Roch,Narbonne,71
Cerbère,Narbonne,87
Montpellier-Saint-Roch,Perpignan,130
Nîmes,Toulouse-Matabiau,210
Montpellier-Saint-Roch,Toulouse-Matabiau,176
Carcassonne,Narbonne,36
Carcassonne,Nîmes,140
Perpignan,Toulouse-Matabiau,154
Cerbère,Toulouse-Matabiau,199
Carcassonne,Perpignan,91
Avignon-Centre,Sète,109
Montpellier-Saint-Roch,Nîmes,43
Avignon-Centre,Montpellier-Saint-Roch,76
Avignon-Centre,Narbonne,144
Nîmes,Sète,66
Lunel,Sète,54
Montpellier-Saint-Roch,Sète,23
Lunel,Montpellier-Saint-Roch,20
Avignon-Centre,Nîmes,37
Nîmes,Perpignan,160
Narbonne,Nîmes,98
Cerbère,Nîmes,197
Avignon-Centre,Perpignan,196
Avignon-Centre,Cerbère,238
Béziers,Marseille-St-Charles,171
Marseille-St-Charles,Narbonne,188
Marseille-St-Charles,Montpellier-Saint-Roch,119
Cerbère,Montpellier-Saint-Roch,154
Génolhac,Nîmes,77
La Bastide-St-Laurent,Nîmes,114
Nîmes,Vauvert,24
Béziers,St-Chély-d'Apcher,244
Béziers,Millau,117
Millau,St-Chély-d'Apcher,111
Montpellier-Saint-Roch,St-Chély-d'Apcher,297
Marseille-St-Charles,Miramas,33
Avignon-Centre,Orange,26
Avignon-Centre,Avignon-TGV,5
Avignon-Centre,Carpentras,28
Avignon-TGV,Carpentras,41
Avignon-TGV,Marseille-St-Charles,133
