origin,destination,length
Ingwiller,Lichtenberg-(Eglise).,23
Saverne,Strasbourg,57
Lutzelbourg,Saverne,15
Kruth,Thann Arrêt La Poste,32
Kruth,Mulhouse,77
Kruth,Thann,32
Kruth,Wesserling,7
Colmar,Metzeral,43
Cernay (Haut-Rhin),Sewen-(Eglise),60
Cernay-(Lycée),Sewen-(Eglise),66
Basel-SBB,Mulhouse,60
Ingwiller,Saverne-(Lycée-Verne),64
Frohmuhl- (Lavoir),Saverne-(Ht-Barr),83
Frohmuhl- (Lavoir),Saverne,58
Frohmuhl- (Lavoir),Saverne-(Lycée-Verne),85
Saverne,Hattmatt-S.-Polyvalente,20
Hattmatt-S.-Polyvalente,Saverne-(Pl.-Dragons),33
Hattmatt-S.-Polyvalente,Saverne-(Lycée-Verne),42
Hattmatt-S.-Polyvalente,Saverne-(Ht-Barr),43
Herrlisheim (Bas-Rhin),Strasbourg,51
Lauterbourg,Roeschwoog,30
Entzheim-Aéroport,Strasbourg,20
Barr,Molsheim,33
Molsheim,Strasbourg,40
Barr,Strasbourg,89
Molsheim,Sélestat,76
Rothau,Strasbourg,72
Saales,Strasbourg,104
Altkirch,Mulhouse,25
Belfort-Ville,Mulhouse,77
Belfort-Ville,Montreux-Vieux,30
Sélestat,Ribeauville-Gare-Routiè,20
Sélestat,Riquewihr-Poste,36
Sélestat,Ste-Marie-/-Mines-Maire,35
St-Dié-des-Vosges,Sélestat,71
Sélestat,Ste-Marie/-Ms-(-Théâtre,36
Ste-Croix/Mines-Sq-de-G,Sèlestat-(Schwilgué),55
Sélestat,Ste-Marie-/-Ms-Pl-.CdG,35
Ste-Marie-/-Mines-Maire,Sèlestat-(Schwilgué),64
Liepvre-(-R.-GUTH-),Sèlestat-(Schwilgué),49
Ste-Marie-/-Ms-Pl-.CdG,Sélestat-(Schweisguth),69
Sélestat,Lièpvre-(Rte-Vancelle),45
Montluçon-Ville,Vierzon,125
Laqueuille,Le-Mont-Dore-Gare,24
Clermont-Ferrand,Gannat,57
Gannat,Riom-Châtel-Guyon,46
Aurillac,St-Denis-près-Martel,111
Aurillac,Capdenac,88
Montluçon-Ville,Vichy,108
Clermont-Ferrand,Le-Mont-Dore-Gare,84
Clermont-Ferrand,Saint-Etienne-Chtx GR,156
Thiers,Saint-Etienne-Chtx GR,118
Clermont-Ferrand,Le Puy-en-Velay,184
Clermont-Ferrand,Montluçon-Ville,146
Montluçon-Ville,Riom-Châtel-Guyon,120
Arvant,Aurillac,121
Moulins-sur-Allier,Vichy,78
Clermont-Ferrand,Thiers,71
Clermont-Ferrand,Volvic,39
Ancizes-St-Georges-Bour,Volvic,39
Montluçon-Ville,Urcay-Hotel-du-Lyon-d'O,44
Montluçon-Ville,St-Amand-Montrond-Orval,59
Thiers,Vertaizon,40
Montluçon-Ville,St-Eloy,40
Lapeyrouse(Puy-de-Dôme),St-Eloy-les-Mines-Lycée,20
Ancizes-St-Georges-Bour,Clermont-Ferrand,69
Clermont-Ferrand,St-Gervais-Mairie,91
Clermont-Ferrand,Le Mont Dore Ski,98
Clermont-Ferrand,Vertaizon,32
Volvic,St-Eloy,113
Arvant,St-Flour-les-Allées,50
Massiac-Blesle,St-Flour-les-Allées,30
Arvant,St-Chély-d'Apcher,77
Clermont-Ferrand,Mauriac-Lycée-Cortat,136
Lapeyrouse(Puy-de-Dôme),St-Eloy,15
Clermont-Ferrand,Mauriac,133
Riom-Châtel-Guyon,St-Gervais-Ch-LPA.,54
